#,PLAYER,Team,Positions,Age,Value,Name,original_key,metadata,injury_body_part,depth_chart_order,sportradar_id,team_abbr,oddsjam_id,birth_date,active,stats_id,search_last_name,espn_id,full_name,search_rank,years_exp,player_id,fantasy_data_id,kalshi_id,yahoo_id,practice_participation,injury_start_date,depth_chart_position,injury_notes,status,gsis_id,competitions,age,practice_description,news_updated,hashtag,player_shard,last_name,birth_city,rotoworld_id,weight,team_changed_at,injury_status,sport,fantasy_positions,birth_country,team,opta_id,height,swish_id,college,search_full_name,first_name,high_school,position,pandascore_id,rotowire_id,birth_state,search_first_name,number,id,fullName,experience
103,Egor Demin,BKN,PG,19.7,3673.98415154973,Egor Demin,4744,{'channel_id': '1243819672046931968'},,2.0,b5e408ae-86d3-44a0-aa16-6977c6aaed41,,,2006-03-03,True,,demin,,Egor Dëmin,181.0,0.0,4744,20003455.0,7a110972-5181-4479-ad48-c96ead96cce7,,,,PG,,ACT,,[],19.0,,1762560653062.0,#egordemin-NBA-BKN-8,8,Dëmin,,,200,,,nba,"['PG', 'SG']",,BKN,,80,,BYU,egordemin,Egor,,PG,,6559.0,,egor,8.0,5175643,Egor Demin,0.0
104,Keyonte George,UTA,"PG,SG",22.0,3652.0752025586935,Keyonte George,2580,{'channel_id': '1113936522530258944'},,1.0,4a4459df-6307-4d10-b4cd-c69e9bf8b11d,,3E4F3A3A5C33,2003-11-08,True,,george,,Keyonte George,124.0,2.0,2580,20003044.0,bc6e3271-7095-427a-862f-24c9746e7cf7,,,,PG,,ACT,,[],22.0,,1762235110388.0,#keyontegeorge-NBA-UTA-3,2,George,,,185,,,nba,"['PG', 'SG']",,UTA,,76,1408151.0,Baylor,keyontegeorge,Keyonte,IMG Academy (FL),PG,,5899.0,,keyonte,3.0,4433627,Keyonte George,2.0
105,Michael Porter Jr.,BKN,"SF,PF",27.4,3630.386447735491,Michael Porter,1988,{'channel_id': '1113936537260654592'},,1.0,3a7d6510-00e9-4265-81df-864a1f547269,,9FF8936053D5,1998-06-29,True,,porter,,Michael Porter,65.0,6.0,1988,20001988.0,e0945bc8-fa32-41e5-b85b-9155011bdd3b,,,,SF,,ACT,,[],27.0,,1762441203670.0,#michaelporter-NBA-BKN-17,5,Porter,,,218,,,nba,"['PF', 'SF']",,BKN,,82,1061724.0,Missouri,michaelporter,Michael,Nathan Hale School (WA),PF,,4375.0,,michael,17.0,4278104,Michael Porter Jr.,6.0
106,Christian Braun,DEN,"SG,SF",24.6,3608.9135049970737,Christian Braun,2457,{'channel_id': '1113936537931743232'},,1.0,cbc1a455-6cf8-4174-ace6-b0e250936f74,,1747B091DAF7,2001-04-17,True,,braun,,Christian Braun,79.0,3.0,2457,20002868.0,a8c36a08-649c-47b7-83bd-cb0e8ba6e47c,,,,SG,,ACT,,[],24.0,,1762278014894.0,#christianbraun-NBA-DEN-0,8,Braun,,,220,,,nba,"['SF', 'SG']",,DEN,,78,1174878.0,Kansas,christianbraun,Christian,Blue Valley Northwest (KS),SG,,5710.0,,christian,0.0,4431767,Christian Braun,3.0
107,Joel Embiid,PHI,C,31.6,3587.65212178434,Joel Embiid,1511,{'channel_id': '1113936494965293056'},,1.0,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,,0926C6680D09,1994-03-16,True,,embiid,,Joel Embiid,56.0,9.0,1511,20000726.0,8aa20fec-25b0-47c8-bd26-efd64ee0826c,,,,C,,ACT,,[],31.0,,1762556108884.0,#joelembiid-NBA-PHI-21,4,Embiid,,,280,,,nba,['C'],,PHI,,84,794508.0,Kansas,joelembiid,Joel,The Rock School (FL),C,,3572.0,,joel,21.0,3059318,Joel Embiid,11.0
108,Cam Thomas,BKN,"SG,SF",24.1,3566.598170007337,Cam Thomas,2278,{'channel_id': '1113936502447931392'},Hamstring,6.0,c6289b1b-7bb2-4ee6-8111-1a6e96aa9104,,CB3A47D7E7B5,2001-10-13,True,,thomas,,Cam Thomas,78.0,4.0,2278,20002658.0,6fcc7797-6201-40ad-bff2-abff2250bc2d,,,,PG,Soreness,ACT,,[],24.0,,1762556408036.0,#camthomas-NBA-BKN-24,3,Thomas,,,210,,Out,nba,"['PG', 'SF', 'SG']",,BKN,,75,1232020.0,LSU,camthomas,Cam,Oak Hill Academy (VA),SG,,5360.0,,cam,24.0,4432174,Cam Thomas,4.0
109,Naz Reid,MIN,"PF,C",26.2,3545.7476412346823,Naz Reid,2036,{'channel_id': '1113936503123214336'},,2.0,823b2161-0c34-494c-9d7c-b438152f4f4d,,2998DCA7D4A7,1999-08-26,True,,reid,,Naz Reid,79.0,6.0,2036,20002336.0,15a36614-d0eb-4be8-af9f-4e79a32d4231,,,,C,,ACT,,[],26.0,,1762259412372.0,#nazreid-NBA-MIN-11,1,Reid,,,264,,,nba,"['C', 'PF']",,MIN,,81,1137200.0,LSU,nazreid,Naz,Roselle Catholic (NJ),C,,4806.0,,naz,11.0,4396971,Naz Reid,6.0
110,Julius Randle,MIN,"PF,C",30.9,3525.0966421131343,Julius Randle,1535,"{'channel_id': '1113936487054835712', 'fantasy_positions': 'C,PF'}",,1.0,24c85a15-686e-4161-934b-40948188fa36,,CED163F3F032,1994-11-29,True,,randle,,Julius Randle,53.0,11.0,1535,20000710.0,2bf5e35d-4c07-42ff-bcc0-e2e7b05eab71,,,,PF,,ACT,,[],30.0,,1762441803706.0,#juliusrandle-NBA-MIN-30,2,Randle,,,250,,,nba,"['C', 'PF']",,MIN,,81,786412.0,Kentucky,juliusrandle,Julius,Prestonwood Christian (TX),PF,,3574.0,,julius,30.0,3064514,Julius Randle,11.0
111,Keegan Murray,SAC,"SF,PF",25.2,3504.6413900042808,Keegan Murray,2456,{'channel_id': '1113936536006557696'},Thumb,6.0,7494fbb4-5ac7-43ee-b91a-8859532f548b,,7CB806C31E89,2000-08-19,True,,murray,,Keegan Murray,102.0,3.0,2456,20002873.0,,,,,SF,Sprain,ACT,,[],25.0,,1761182426675.0,#keeganmurray-NBA-SAC-13,2,Murray,,,225,,Out,nba,"['PF', 'SF']",,SAC,,80,1231161.0,Iowa,keeganmurray,Keegan,DME Academy (FL),PF,,5699.0,,keegan,13.0,4594327,Keegan Murray,3.0
112,Isaiah Collier,UTA,"PG,SG",21.1,3484.3782088260887,Isaiah Collier,2724,{'channel_id': '1113936522081468416'},,3.0,019a0f57-b63a-4521-8a5d-45942a15eb7b,,1434527BE8E7,2004-10-08,True,,collier,,Isaiah Collier,164.0,1.0,2724,20003204.0,7d2ee2ec-d216-4a88-9468-cd82847d51a0,,,,PG,,ACT,,[],21.0,,1762563953430.0,#isaiahcollier-NBA-UTA-8,6,Collier,,,210,,,nba,['PG'],,UTA,,76,1463591.0,USC,isaiahcollier,Isaiah,Wheeler (GA),PG,,6260.0,,isaiah,8.0,4683766,Isaiah Collier,1.0
113,Kawhi Leonard,LAC,"SF,PF",34.4,3464.3035250878547,Kawhi Leonard,1308,{'channel_id': '1113936521532014592'},Ankle,1.0,c12fb587-fc86-471c-8a84-19caf31325ce,,B97A9B7266A2,1991-06-29,True,,leonard,,Kawhi Leonard,46.0,14.0,1308,20000646.0,f2bfdc6c-0d84-4736-ba44-8cdbc196e0b3,,,,SF,Sprain,ACT,,[],34.0,,1762565454361.0,#kawhileonard-NBA-LAC-2,1,Leonard,,,225,,Out,nba,"['PF', 'SF']",,LAC,,78,512591.0,San Diego State,kawhileonard,Kawhi,Martin Luther King (CA),PF,,3195.0,,kawhi,2.0,6450,Kawhi Leonard,14.0
114,Zach LaVine,SAC,"PG,SG,SF",30.7,3444.4138641079116,Zach LaVine,1526,{'channel_id': '1113936486568296448'},,1.0,db72e294-1c54-454a-96b9-0b4fd2f38112,,C786E5C3CE0C,1995-03-10,True,,lavine,,Zach LaVine,62.0,11.0,1526,20000804.0,b02cbe96-1ddf-40bc-9dec-7146c3350d61,,,,SF,,ACT,,[],30.0,,1762515605523.0,#zachlavine-NBA-SAC-8,8,LaVine,,,200,,,nba,"['PG', 'SG']",,SAC,,77,743777.0,UCLA,zachlavine,Zach,Bothell (WA),SG,,3597.0,,zach,8.0,3064440,Zach LaVine,11.0
115,Khaman Maluach,PHO,C,19.1,3424.705846404031,Khaman Maluach,4761,{'channel_id': '1243819699565760512'},,4.0,fc0c5adb-2e00-4b9b-9db2-338ed54be386,,,2006-09-14,True,,maluach,,Khaman Maluach,195.0,0.0,4761,20003450.0,8c677e1a-09f0-4dab-9c20-161558ae282c,,,,C,,ACT,,[],19.0,,1761184526330.0,#khamanmaluach-NBA-PHX-10,9,Maluach,,,250,,,nba,['C'],,PHX,,85,,Duke,khamanmaluach,Khaman,,C,,6542.0,,khaman,10.0,5203685,Khaman Maluach,0.0
116,Jaden McDaniels,MIN,"SF,PF",25.1,3405.1761842471788,Jaden McDaniels,2135,{'channel_id': '1113936503572004864'},,1.0,aa5536d2-4d75-43fb-8df3-47fbf99d3b7c,,ED5B1BEF088A,2000-09-29,True,,mcdaniels,,Jaden McDaniels,95.0,5.0,2135,20002553.0,4432f713-dfc6-47db-881d-bace88c4d9c1,,,,SF,,ACT,,[],25.0,,1762259412359.0,#jadenmcdaniels-NBA-MIN-3,4,McDaniels,,,185,,,nba,"['PF', 'SF']",,MIN,,81,1177013.0,Washington,jadenmcdaniels,Jaden,Federal Way (WA),SF,,5221.0,,jaden,3.0,4431671,Jaden McDaniels,5.0
117,Tari Eason,HOU,"SF,PF",24.5,3385.8216783697917,Tari Eason,2447,{'channel_id': '1113936510186422272'},,2.0,e7373530-b566-4f36-b0de-0510b6d94e0e,,B5147174565A,2001-05-10,True,,eason,,Tari Eason,113.0,3.0,2447,20002883.0,5fd6ece6-062c-465b-9a45-da012e1ba84a,,,,SF,,ACT,,[],24.0,,1762411260131.0,#tarieason-NBA-HOU-17,2,Eason,,,215,,,nba,"['PF', 'SF']",,HOU,,80,1235198.0,LSU,tarieason,Tari,Federal Way (WA),PF,,5704.0,,tari,17.0,4433192,Tari Eason,3.0
118,Jonathan Kuminga,GS,"SF,PF",23.1,3366.639214820394,Jonathan Kuminga,2306,{'channel_id': '1113936493686030336'},,1.0,b27687c1-55bb-49e6-9c5b-96a099fda7b7,,C03A29AE8A67,2002-10-06,True,,kuminga,,Jonathan Kuminga,133.0,4.0,2306,20002661.0,ad81c551-8dcc-4678-a547-523db6eac9e6,,,,SF,,ACT,,[],23.0,,1762448404538.0,#jonathankuminga-NBA-GSW-1,8,Kuminga,,,225,,,nba,"['PF', 'SF']",,GSW,,79,1271708.0,,jonathankuminga,Jonathan,The Patrick School (NJ),PF,,5287.0,,jonathan,1.0,4433247,Jonathan Kuminga,4.0
119,Kristaps Porzingis,ATL,"PF,C",30.3,3347.625761956755,Kristaps Porzingis,1590,{'channel_id': '1113936513910964224'},,1.0,3c5901ef-af1d-441d-aeed-8e0a93cead49,,FA629BAD3134,1995-08-02,True,,porzingis,,Kristaps Porziņģis,67.0,10.0,1590,20001406.0,52b8d9e4-67cd-4897-870c-00baa0e8d52d,,,,C,,ACT,,[],30.0,,1762139102337.0,#kristapsporzingis-NBA-ATL-8,6,Porziņģis,,,240,,,nba,"['C', 'PF']",,ATL,,86,877869.0,,kristapsporzingis,Kristaps,,C,,3669.0,,kristaps,8.0,3102531,Kristaps Porzingis,10.0
120,Kyle Filipowski,UTA,"PF,C",22.0,3328.778367570365,Kyle Filipowski,2766,{'channel_id': '1113936523092295680'},,2.0,71b57f97-2ddd-4593-8111-c637e2b58ff8,,41B815130D00,2003-11-07,True,,filipowski,,Kyle Filipowski,158.0,1.0,2766,20003203.0,48c6f4d4-58be-4d3e-bf23-e438e6fa06bf,,,,PF,,ACT,,[],22.0,,1762432502601.0,#kylefilipowski-NBA-UTA-22,7,Filipowski,,,250,,,nba,"['C', 'PF']",,UTA,,83,1403609.0,Duke,kylefilipowski,Kyle,Wilbraham & Monson Academy (MA),C,,6264.0,,kyle,22.0,4684793,Kyle Filipowski,1.0
121,Anfernee Simons,BOS,"PG,SG",26.4,3310.094156135392,Anfernee Simons,1983,{'channel_id': '1113936533523529728'},,2.0,632adcc4-97f1-4e67-a132-e0b79f013c67,,A08DF5DBBEE9,1999-06-08,True,,simons,,Anfernee Simons,74.0,7.0,1983,20002007.0,94894b15-fc9f-42e5-854c-4d2a6006c09b,,,,SG,,ACT,,[],26.0,,1762423201742.0,#anferneesimons-NBA-BOS-4,3,Simons,,,200,,,nba,"['PG', 'SG']",,BOS,,75,1121307.0,,anferneesimons,Anfernee,IMG Academy (FL),PG,,4373.0,,anfernee,4.0,4351851,Anfernee Simons,7.0
122,Jimmy Butler,GS,"SF,PF",36.1,3291.5703261757244,Jimmy Butler,1000,{'channel_id': '1113936524107317248'},,1.0,0e163d44-67a7-4107-9421-5333600166bb,,1B98F0799407,1989-09-14,True,,butler,,Jimmy Butler,50.0,14.0,1000,20000515.0,b99dd959-bae1-40f0-9c67-82f5b8f9961c,,,,SG,,ACT,,[],36.0,,1762568454684.0,#jimmybutler-NBA-GSW-10,1,Butler,,,230,,,nba,"['PF', 'SF']",,GSW,,78,458730.0,Marquette,jimmybutler,Jimmy,Tomball (TX),SF,,3231.0,,jimmy,10.0,6430,Jimmy Butler III,14.0
123,Carter Bryant,SA,SF,19.9,3273.2041477440544,Carter Bryant,4753,{'channel_id': '1243819686152376320'},,4.0,85cd25fd-f437-48dd-b736-af5422c0feb7,,,2005-11-26,True,,bryant,,Carter Bryant,400.0,0.0,4753,20003459.0,98eb67fd-32c0-49c7-b81d-607cc6a35771,,,,PF,,ACT,,[],19.0,,1761574849382.0,#carterbryant-NBA-SAS-11,7,Bryant,,,220,,,nba,"['PF', 'SF']",,SAS,,78,,Arizona,carterbryant,Carter,Fountain Valley (CA),PF,,6556.0,,carter,11.0,5061568,Carter Bryant,0.0
124,Deandre Ayton,LAL,C,27.3,3254.9929600073174,Deandre Ayton,1974,{'channel_id': '1113936533859074048'},,1.0,7ca4beac-bbd6-454f-b820-4e8442a3e1e5,,54818F8E80E9,1998-07-23,True,,ayton,,Deandre Ayton,82.0,7.0,1974,20001990.0,30e25b93-8631-4a93-a536-5fda82c7706a,,,,C,,ACT,,[],27.0,,1762446303395.0,#deandreayton-NBA-LAL-5,9,Ayton,,,252,,,nba,['C'],,LAL,,84,1061507.0,Arizona,deandreayton,Deandre,Hillcrest Prep Academy (AZ),C,,4372.0,,deandre,5.0,4278129,Deandre Ayton,7.0
125,Derik Queen,NO,C,20.9,3236.9341689331923,Derik Queen,4751,{'channel_id': '1243819683132477440'},,2.0,a4de5912-bd72-4993-ac93-fb65d2164660,,,2004-12-27,True,,queen,,Derik Queen,192.0,0.0,4751,20003453.0,1397dd83-6f8b-4ca4-85d8-4ddee4d50e42,,,,PF,,ACT,,[],20.0,,1762404359434.0,#derikqueen-NBA-NOP-22,4,Queen,,,250,,,nba,['C'],,NOP,,81,,Maryland,derikqueen,Derik,St. Frances Academy (MD),C,,6541.0,,derik,22.0,4869780,Derik Queen,0.0
126,Nicolas Claxton,BKN,C,26.6,3131.644363310834,Nicolas Claxton,2032,{'channel_id': '1113936501445492736'},,1.0,288519dc-eae8-4daf-afa4-c86322b7460e,,ACF15E324B4A,1999-04-17,True,,claxton,,Nic Claxton,111.0,6.0,2032,20002292.0,594d190f-a7a4-4b7c-9116-e2af0cbc99bd,,,,C,,ACT,,[],26.0,,1762440603486.0,#nicclaxton-NBA-BKN-33,0,Claxton,,,215,,,nba,"['C', 'PF']",,BKN,,83,1061682.0,Georgia,nicclaxton,Nic,Legacy Charter School (SC),C,,4827.0,,nic,33.0,4278067,Nic Claxton,6.0
127,Andrew Nembhard,IND,"PG,SG",25.8,3114.5848836414607,Andrew Nembhard,2461,{'channel_id': '1113936490427056128'},Shoulder,1.0,02acc094-76ab-4b3e-b51d-a351a9bab6b9,,92F6506906D1,2000-01-16,True,,nembhard,,Andrew Nembhard,90.0,3.0,2461,20002914.0,ebe58f63-e571-4632-b569-ac0c69dd6218,,,,PG,Strain,ACT,,[],25.0,,1762563353414.0,#andrewnembhard-NBA-IND-2,6,Nembhard,,,191,,DTD,nba,"['PG', 'SG']",,IND,,76,1134158.0,Gonzaga,andrewnembhard,Andrew,Montverde Academy (FL),SG,,5679.0,,andrew,2.0,4395712,Andrew Nembhard,3.0
128,Ron Holland II,DET,"SF,PF",20.3,3097.6592051898515,Ron Holland,2836,{'channel_id': '1128504882836283392'},,2.0,a2b3bc56-566e-443d-affe-7837a59a1ed7,,,2005-07-07,True,,holland,,Ronald Holland,566.0,1.0,2836,20003214.0,7864645c-a818-47f6-8e3a-2f74c8e083e4,,,,PF,,ACT,,[],20.0,,1762432502615.0,#ronaldholland-NBA-DET-5,1,Holland,,,206,,,nba,"['PF', 'SF']",,DET,,80,,,ronaldholland,Ronald,Duncanville (TX),SF,,5939.0,,ronald,5.0,4683771,Ronald Holland II,1.0
129,Kasparas Jakucionis,MIA,PG,19.4,3080.8652454149997,Kasparas Jakucionis,4759,{'channel_id': '1243819695174324224'},,3.0,d0400039-111a-4b67-8666-4f29e0549a77,,,2006-05-29,True,,jakucionis,,Kasparas Jakučionis,335.0,0.0,4759,20003452.0,ef8f3722-308a-4ef9-beab-27afb7d067da,,,,PG,,ACT,,[],19.0,,1762392059075.0,#kasparasjakucionis-NBA-MIA-25,3,Jakučionis,,,200,,,nba,"['PG', 'SG']",,MIA,,77,,Illinois,kasparasjakucionis,Kasparas,,PG,,6557.0,,kasparas,25.0,5214640,Kasparas Jakucionis,0.0
130,Collin Murray-Boyles,TOR,PF,20.4,3064.2009700210638,Collin Murray-Boyles,4755,{'channel_id': '1243819688798982144'},,2.0,7b169c92-2d4d-4218-9557-4e0ec1b43378,,,2005-06-10,True,,murrayboyles,,Collin Murray-Boyles,449.0,0.0,4755,20003454.0,d9935a9e-93fb-438e-956b-3600b9b87170,,,,PF,,ACT,,[],20.0,,1762301716041.0,#collinmurrayboyles-NBA-TOR-12,8,Murray-Boyles,,,245,,,nba,"['PF', 'SF']",,TOR,,79,,South Carolina,collinmurrayboyles,Collin,Wasatch Academy (UT),PF,,6585.0,,collin,12.0,5093267,Collin Murray-Boyles,0.0
131,John Collins,LAC,"PF,C",28.1,3047.6643914785527,John Collins,1809,{'channel_id': '1113936522425401344'},,2.0,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,,705A1539F76B,1997-09-23,True,,collins,,John Collins,89.0,8.0,1809,20001835.0,4bf6560d-e40d-4412-b8c4-de4de06b42ac,,,,PF,,ACT,,[],28.0,,1762491903042.0,#johncollins-NBA-LAC-20,3,Collins,,,226,,,nba,"['C', 'PF']",,LAC,,81,880468.0,Wake Forest,johncollins,John,Cardinal Newman (FL),PF,,4159.0,,john,20.0,3908845,John Collins,8.0
132,Taylor Hendricks,UTA,"SF,PF",22.0,3031.253567601734,Taylor Hendricks,2582,{'channel_id': '1113936523880824832'},,1.0,fb6e5496-cfa5-42c2-bbfa-f776734a25a8,,E82398E3404B,2003-11-22,True,,hendricks,,Taylor Hendricks,502.0,2.0,2582,20003040.0,3783ab8b-6b24-48d3-835e-3d18b2ebd848,,,,PF,,ACT,,[],21.0,,1762563953431.0,#taylorhendricks-NBA-UTA-0,4,Hendricks,,,215,,,nba,"['PF', 'SF']",,UTA,,81,1405861.0,UCF,taylorhendricks,Taylor,Calvary Christian (FL),SF,,5903.0,,taylor,0.0,4684806,Taylor Hendricks,2.0
133,Rob Dillingham,MIN,PG,20.8,3014.966600179736,Rob Dillingham,2717,{'channel_id': '1113936503353901056'},,3.0,99dc3c11-03fc-4d15-9dd5-d8d1f41c569a,,3DBC16E28E37,2005-01-04,True,,dillingham,,Rob Dillingham,196.0,1.0,2717,20003193.0,39063bb2-a56e-41bb-94ca-ae15c380a190,,,,PG,,ACT,,[],20.0,,1762200007893.0,#robdillingham-NBA-MIN-4,6,Dillingham,,,175,,,nba,"['PG', 'SG']",,MIN,,74,1429354.0,Kentucky,robdillingham,Rob,Subject Virtual School (CA),PG,,6255.0,,rob,4.0,4684275,Rob Dillingham,1.0
134,Cameron Johnson,DEN,"SF,PF",29.7,2998.8016336589226,Cameron Johnson,2091,{'channel_id': '1113936501550350336'},,1.0,2fe5b749-7bd4-4dbc-acfb-6d675f541e37,,C9AF28084D8F,1996-03-03,True,,johnson,,Cameron Johnson,86.0,6.0,2091,20002289.0,2540898e-4ca4-4b5a-a13e-7d075580c497,,,,SF,,ACT,,[],29.0,,1762374021902.0,#cameronjohnson-NBA-DEN-23,4,Johnson,,,210,,,nba,"['PF', 'SF']",,DEN,,80,843005.0,North Carolina,cameronjohnson,Cameron,Our Lady of the Sacred Heart (PA),PF,,4916.0,,cameron,23.0,3138196,Cameron Johnson,6.0
135,Joan Beringer,MIN,C,19.0,2982.756853874236,Joan Beringer,4747,{'channel_id': '1243819675033276416'},,3.0,24a0f5aa-209a-4d54-91db-bddecc37f87e,,,2006-11-11,True,,beringer,,Joan Beringer,387.0,0.0,4747,20003472.0,7b22d659-5c24-411c-937b-23352fdefff6,,,,C,,ACT,,[],18.0,,1761248128341.0,#joanberinger-NBA-MIN-19,4,Beringer,,,230,,,nba,['C'],,MIN,,83,,,joanberinger,Joan,,C,,6576.0,,joan,19.0,5279133,Joan Beringer,0.0
136,Nikola Jovic,MIA,PF,22.4,2966.830486827377,Nikola Jovic,2480,{'channel_id': '1113936525558546432'},,2.0,d31856fa-e1ff-4617-ab8b-a3ed79bfb27d,,A5F161698A2A,2003-06-09,True,,jovic,,Nikola Jović,199.0,3.0,2480,20002888.0,456a00ec-c379-46c8-ac4c-22ed09b76782,,,,PF,,ACT,,[],22.0,,1761865539996.0,#nikolajovic-NBA-MIA-5,4,Jović,,,205,,,nba,['PF'],,MIA,,82,1349630.0,,nikolajovic,Nikola,,PF,,5640.0,,nikola,5.0,4997528,Nikola Jovic,3.0
137,Daniel Gafford,DAL,C,27.1,2951.0207975097255,Daniel Gafford,1997,{'channel_id': '1113936528209346560'},,2.0,52cd8137-c791-4569-ad70-433e25d34882,,8A7EB4769E41,1998-10-01,True,,gafford,,Daniel Gafford,135.0,6.0,1997,20002329.0,f7809899-1a37-42df-8c56-5029ca536e5b,,,,C,,ACT,,[],27.0,,1762446304270.0,#danielgafford-NBA-DAL-21,8,Gafford,,,265,,,nba,['C'],,DAL,,82,1061647.0,Arkansas,danielgafford,Daniel,El Dorado (AR),C,,4824.0,,daniel,21.0,4278049,Daniel Gafford,6.0
138,Jakob Poeltl,TOR,C,30.1,2935.3260887680644,Jakob Poeltl,1718,{'channel_id': '1113936519657160704'},,1.0,e1b3d3d5-b4b1-481a-b5b9-efe4231f48bf,,0869E077A3D0,1995-10-15,True,,poeltl,,Jakob Poeltl,75.0,9.0,1718,20001687.0,d25e2502-71da-4cf4-9068-63c09a55777b,,,,C,,ACT,,[],30.0,,1762312516260.0,#jakobpoeltl-NBA-TOR-19,0,Poeltl,,,253,,,nba,['C'],,TOR,,84,844478.0,Utah,jakobpoeltl,Jakob,,C,,3870.0,,jakob,19.0,3134908,Jakob Poeltl,9.0
139,Ryan Dunn,PHO,"SF,PF",22.8,2919.744700211273,Ryan Dunn,2710,{'channel_id': '1113936530415550464'},,2.0,749f9e06-52c1-4436-840e-9096a9908c0b,,177A54C97E81,2003-01-07,True,,dunn,,Ryan Dunn,532.0,1.0,2710,20003231.0,5a55f86d-dd08-4c8d-b9cd-8549d64f86f4,,,,SF,,ACT,,[],22.0,,1762480202438.0,#ryandunn-NBA-PHX-0,2,Dunn,,,216,,,nba,"['PF', 'SF']",,PHX,,79,1406029.0,Virginia,ryandunn,Ryan,Perkiomen School (PA),SF,,6276.0,,ryan,0.0,4888725,Ryan Dunn,1.0
140,2027 Round 2,NBA,P,0.0,2910.9324382702735,2027 Round 2,2027rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2027 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2027 Round 2,Round 2,,P,,,,round,1.0,,2027 Round 2,
141,2026 Round 2,NBA,P,0.0,2910.9324382702735,2026 Round 2,2026rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2026 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2026 Round 2,Round 2,,P,,,,round,1.0,,2026 Round 2,
142,2025 Round 2,NBA,P,0.0,2910.9324382702735,2025 Round 2,2025rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2025 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2025 Round 2,Round 2,,P,,,,round,1.0,,2025 Round 2,
143,2024 Round 2,NBA,P,0.0,2910.9324382702735,2024 Round 2,2024rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2024 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2024 Round 2,Round 2,,P,,,,round,1.0,,2024 Round 2,
144,2023 Round 2,NBA,P,0.0,2910.9324382702735,2023 Round 2,2023rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2023 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2023 Round 2,Round 2,,P,,,,round,1.0,,2023 Round 2,
145,2028 Round 2,NBA,P,0.0,2910.9324382702735,2028 Round 2,2028rd2,{},,0.0,,NBA,,2025-01-01,False,,pick1,,2028 Round 2,1.0,0.0,,,,,,,P,,DRAFT,,[],0.0,,0.0,#Round2Pick1-NBA,,Pick 1,,,0,2025-01-01,,nba,['PICK'],,NBA,,0,,,2028 Round 2,Round 2,,P,,,,round,1.0,,2028 Round 2,
146,Walter Clayton Jr.,UTA,PG,22.7,2904.275007156173,Walter Clayton,4757,{'channel_id': '1243819692536107008'},,2.0,b8fd0298-4027-47e2-9531-fa7c01b8bbba,,,2003-03-06,True,,clayton,,Walter Clayton,327.0,0.0,4757,20003464.0,155ff771-bdf4-4a16-9908-6b555ff73ace,,,,PG,,ACT,,[],22.0,,1762183205853.0,#walterclayton-NBA-UTA-13,6,Clayton,,,195,,,nba,"['PG', 'SG']",,UTA,,76,,Florida,walterclayton,Walter,Bartow (FL),PG,,6575.0,,walter,13.0,4896372,Walter Clayton Jr.,0.0
147,Gradey Dick,TOR,"SG,SF",22.0,2888.9154196109303,Gradey Dick,2578,{'channel_id': '1113936518289817600'},,2.0,59c707c2-fc69-4ed5-aa33-d446709dad9f,,88D26D3BD2FC,2003-11-20,True,,dick,,Gradey Dick,159.0,2.0,2578,20003039.0,9f2111cb-be0d-4569-af93-a4de5ab72a7e,,,,SF,,ACT,,[],21.0,,1762352719267.0,#gradeydick-NBA-TOR-1,6,Dick,,,200,,,nba,"['SF', 'SG']",,TOR,,79,1416377.0,Kansas,gradeydick,Gradey,Sunrise Christian Academy (KS),SF,,5927.0,,gradey,1.0,5106258,Gradey Dick,2.0
148,Usman Garuba,FA,"PF,C",24.7,2873.664381294353,Usman Garuba,2307,{'channel_id': '1153293084201603072'},,,452f97da-01fb-40be-834b-34fd3a40615e,,95FD9F3662E6,2002-03-09,True,,garuba,,Usman Garuba,,3.0,2307,,,,,,,,FA,,[],23.0,,1724179821158.0,#usmangaruba-NBA-FA,5,Garuba,,,229,,,nba,"['C', 'PF']",,,,80,1318915.0,,usmangaruba,Usman,,PF,,5409.0,,usman,,,,
