Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position
Josh McRoberts,1150,nba,,False,,37.0,1987-02-28,RET,,11.0,,82,240,Duke,,PF
Tyler Cavanaugh,1813,nba,,True,,30.0,1994-02-09,FA,,1.0,,81,238,George Washington,,PF
Aaron Henry,2330,nba,,True,,25.0,1999-08-30,FA,,1.0,,77,210,Michigan State,,SF
Frank Kaminsky,1609,nba,,True,,31.0,1993-04-04,FA,,7.0,,84,240,Wisconsin,,C
Emanuel Miller,2854,nba,,True,,24.0,2000-06-19,FA,,0.0,,79,215,,,PF
Eric Mika,2109,nba,,True,,29.0,1995-01-05,FA,,1.0,,82,240,BYU,,PF
Malik Beasley,1749,nba,5.0,True,SG,28.0,1996-11-26,ACT,,8.0,2.0,76,187,Florida State,DET,SG
Duane Washington,2320,nba,,True,,24.0,2000-03-24,FA,,2.0,,74,197,Ohio State,,SG
James Anderson,1100,nba,,True,,35.0,1989-03-25,FA,,5.0,,78,210,Oklahoma State,,SG
Aaron Holiday,1895,nba,0.0,True,PG,28.0,1996-09-30,ACT,,6.0,3.0,72,185,UCLA,HOU,PG
Javon Freeman-Liberty,2496,nba,,True,,25.0,1999-10-20,FA,,1.0,,75,190,DePaul,,PG
Mario Hezonja,1660,nba,,True,,29.0,1995-02-25,FA,,5.0,,80,220,,,PF
Kris Humphries,1279,nba,,False,,39.0,1985-02-06,RET,,13.0,,81,235,Minnesota,,PF
Brandon Goodwin,1991,nba,,True,,29.0,1995-10-02,FA,,4.0,,72,180,Florida Gulf Coast,,PG
Alex Len,1412,nba,25.0,True,C,31.0,1993-06-16,ACT,,11.0,3.0,84,250,Maryland,SAC,C
Ekpe Udoh,1387,nba,,False,,37.0,1987-05-20,RET,,7.0,,82,245,Baylor,,PF
Kevin Garnett,1172,nba,,False,,48.0,1976-05-19,RET,,21.0,,83,253,,,PF
Jordan Bone,2025,nba,,True,,27.0,1997-11-05,FA,,1.0,,74,180,Tennessee,,PG
Adreian Payne,1523,nba,,False,,33.0,1991-02-19,RET,,4.0,,82,237,Michigan State,,PF
Alex Ducas,2782,nba,88.0,True,SF,23.0,2000-12-11,TWO-WAY,,0.0,9.0,79,220,Saint Mary's,OKC,PG
CJ Elleby,2160,nba,,True,,24.0,2000-06-16,FA,,2.0,,78,200,Washington State,,SF
Greg Smith,1009,nba,,True,,33.0,1991-01-08,FA,,5.0,,82,250,Fresno State,,PF
Taevion Kinsey,2678,nba,,True,,24.0,2000-03-10,FA,,1.0,,77,190,Marshall,,PG
Sean Kilpatrick,1524,nba,,True,,34.0,1990-01-06,FA,,4.0,,76,212,Cincinnati,,SG
Paul Millsap,1250,nba,,True,,39.0,1985-02-10,FA,,16.0,,79,257,Louisiana Tech,,PF
Izaiah Brockington,2519,nba,,True,,25.0,1999-07-12,FA,,2.0,,76,196,Iowa State,,PG
Baylor Scheierman,2721,nba,55.0,True,SF,24.0,2000-09-26,ACT,,0.0,6.0,78,213,Creighton,BOS,PG
Ron Holland DUPLICATE,2739,nba,,False,,,,,,,,,,,,
Jazian Gortman,2676,nba,0.0,True,PG,21.0,2003-03-14,TWO-WAY,,1.0,5.0,74,184,,DAL,PG
CJ McCollum,1450,nba,3.0,True,SG,33.0,1991-09-19,ACT,,11.0,1.0,75,190,Lehigh,NOP,SG
Ray Spalding,1966,nba,,True,,27.0,1997-03-11,FA,,1.0,,82,215,Louisville,,PF
Bruno Caboclo,1550,nba,,True,,29.0,1995-09-21,FA,,7.0,,81,218,,,SF
Marcus Derrickson,1897,nba,,True,,28.0,1996-02-01,FA,,1.0,,79,249,Georgetown,,PF
Kelly Olynyk,1282,nba,41.0,True,C,33.0,1991-04-19,ACT,,11.0,6.0,83,240,Gonzaga,TOR,C
Nigel Hayes,1800,nba,,True,,29.0,1994-12-16,FA,,1.0,,79,254,Wisconsin,,SF
Isaac Jones,2780,nba,17.0,True,C,25.0,1999-07-11,TWO-WAY,,0.0,2.0,81,245,Washington State,SAC,PF
Jamal Cain,2537,nba,8.0,True,SF,25.0,1999-03-20,TWO-WAY,,2.0,6.0,78,191,Marquette,NOP,SF
Antonio Reeves,2758,nba,12.0,True,SF,24.0,2000-11-20,ACT,,0.0,4.0,77,187,Kentucky,NOP,PG
De'Aaron Fox,1872,nba,5.0,True,PG,26.0,1997-12-20,ACT,,7.0,1.0,75,190,Kentucky,SAC,PG
Sam Dekker,1623,nba,,True,,30.0,1994-05-06,FA,,5.0,,81,230,Wisconsin,,PF
Tristen Newton,2745,nba,4.0,True,PG,23.0,2001-04-26,TWO-WAY,,0.0,4.0,77,190,UConn,IND,PG
Jae'Sean Tate,2193,nba,8.0,True,SF,29.0,1995-10-28,ACT,,4.0,5.0,77,226,Ohio State,HOU,SF
P.J. Hairston,1517,nba,,False,,31.0,1992-12-24,RET,,2.0,,78,230,North Carolina,,SG
Bernard James,1396,nba,,False,,39.0,1985-02-07,RET,,3.0,,82,240,Florida State,,C
Georgios Kalaitzakis,2311,nba,,True,,25.0,1999-01-02,FA,,2.0,,80,192,,,SF
Mike Dunleavy,1007,nba,,False,,44.0,1980-09-15,RET,,15.0,,81,230,Duke,,SG
Michael Kidd-Gilchrist,1163,nba,,True,,31.0,1993-09-26,FA,,8.0,,78,230,Kentucky,,SF
Tre Mann,2297,nba,23.0,True,PG,23.0,2001-02-03,ACT,,3.0,2.0,75,178,Florida,CHA,PG
Michael Beasley,1370,nba,,True,,35.0,1989-01-09,FA,,11.0,,81,235,Kansas State,,SF
Anthony Duruji,2518,nba,,True,,26.0,1998-07-22,FA,,1.0,,79,209,Florida,,PF
Nate Robinson,1469,nba,,False,,40.0,1984-05-31,RET,,11.0,,69,180,Washington,,PG
GG Jackson,2603,nba,45.0,True,PF,19.0,2004-12-17,ACT,,1.0,5.0,81,210,South Carolina,MEM,PF
Terry Rozier,1632,nba,2.0,True,SG,30.0,1994-03-17,ACT,,9.0,1.0,73,190,Louisville,MIA,PG
Toney Douglas,1084,nba,,True,,38.0,1986-03-16,FA,,8.0,,74,185,Florida State,,PG
Charlie Brown,2052,nba,,True,,27.0,1997-02-02,FA,,3.0,,78,199,Saint Joseph's,,SF
Javonte Smart,2359,nba,,True,,25.0,1999-06-03,FA,,1.0,,76,205,LSU,,PG
Jake Layman,1743,nba,,True,,30.0,1994-03-07,FA,,6.0,,80,209,Maryland,,SF
Coty Clarke,1630,nba,,True,,32.0,1992-07-04,FA,,1.0,,79,232,Arkansas,,PF
Jerryd Bayless,1209,nba,,True,,36.0,1988-08-20,FA,,11.0,,75,200,Arizona,,PG
Cade Cunningham,2267,nba,2.0,True,PG,23.0,2001-09-25,ACT,,3.0,1.0,78,220,Oklahoma State,DET,SF
Cristiano Felicio,1588,nba,,True,,32.0,1992-07-07,FA,,5.0,,83,270,,,C
Devonte Patterson,2225,nba,,True,,28.0,1996-11-01,FA,,1.0,,79,205,Prairie View A&M,,SF
Devonte' Graham,1910,nba,,True,,29.0,1995-02-22,FA,,6.0,,73,195,Kansas,,PG
Tyler Bey,2127,nba,,True,,26.0,1998-02-10,FA,,1.0,,79,215,Colorado,,SF
Max Abmas,2851,nba,,True,,23.0,2001-04-02,FA,,0.0,,71,162,Texas,,PG
Kellan Grady,2498,nba,,True,,27.0,1997-09-11,FA,,1.0,,77,205,Kentucky,,PG
Andrew Funk,2661,nba,,True,,25.0,1999-09-21,FA,,1.0,,77,200,Penn State,,SG
Phil Pressey,1293,nba,,True,,33.0,1991-02-17,FA,,3.0,,71,175,Missouri,,PG
Boban Marjanovic,1634,nba,,True,,36.0,1988-08-15,FA,,9.0,,88,290,,,C
Alex O'Connell,2550,nba,,True,,25.0,1999-06-02,FA,,1.0,,78,185,Creighton,,PG
Chris Bosh,1375,nba,,False,,40.0,1984-03-24,RET,,13.0,,83,235,Georgia Tech,,PF
Jacob Wiley,1784,nba,,True,,30.0,1994-09-04,FA,,1.0,,80,223,Eastern Washington,,PF
Trey Jemison,2681,nba,55.0,True,C,25.0,1999-11-28,TWO-WAY,,1.0,4.0,82,260,UAB,NOP,C
Jonathan Gibson,1732,nba,,True,,37.0,1987-11-08,FA,,2.0,,74,185,New Mexico State,,PG
Norman Powell,1637,nba,24.0,True,SF,31.0,1993-05-25,ACT,,9.0,1.0,76,215,UCLA,LAC,SG
Ulrich Chomche,2762,nba,22.0,True,C,18.0,2005-12-30,TWO-WAY,,0.0,5.0,82,232,,TOR,PF
Anthony Tarke,2370,nba,,True,,26.0,1998-05-27,FA,,1.0,,78,220,Coppin State,,SG
DeMarcus Cousins,1464,nba,,True,,34.0,1990-08-13,FA,,11.0,,82,270,Kentucky,,C
Will Barton,1447,nba,,True,,33.0,1991-01-06,FA,,10.0,,77,181,Memphis,,SG
DeMarre Carroll,1251,nba,,False,,38.0,1986-07-27,RET,,11.0,,78,215,Missouri,,SF
Dennis Smith,1856,nba,,True,,27.0,1997-11-25,FA,,6.0,,75,205,North Carolina State,,PG
Jermaine Samuels,2553,nba,,True,,26.0,1998-11-13,FA,,1.0,,78,230,Villanova,,PF
Lamar Stevens,2167,nba,,True,,27.0,1997-07-09,FA,,3.0,,79,230,Penn State,,SF
Isaiah Livers,2270,nba,,True,,26.0,1998-07-28,FA,,2.0,,78,232,Michigan,,SF
Melvin Ajinca,2770,nba,,True,,20.0,2004-06-26,NWT,,0.0,,80,218,,,PF
Jordan Walsh,2608,nba,27.0,True,PF,20.0,2004-03-03,ACT,,1.0,4.0,79,208,Arkansas,BOS,PG
Khem Birch,1876,nba,,True,,32.0,1992-09-28,FA,,6.0,,80,233,UNLV,,C
Tariq Owens,2092,nba,,True,,29.0,1995-06-30,FA,,1.0,,82,205,Texas Tech,,PF
Ronnie Brewer,1013,nba,,False,,39.0,1985-03-20,RET,,8.0,,79,235,Arkansas,,SF
Ethan Thompson,2352,nba,,True,,25.0,1999-05-04,FA,,1.0,,77,195,Oregon State,,SG
Braxton Key,2406,nba,,True,,27.0,1997-02-14,FA,,2.0,,80,225,Virginia,,SF
D.J. Stewart,2365,nba,,True,,25.0,1999-07-28,FA,,1.0,,78,205,Mississippi State,,PG
Jerome Robinson,1955,nba,,True,,27.0,1997-02-22,FA,,4.0,,77,190,Boston College,,SG
Vit Krejci,2185,nba,27.0,True,SG,24.0,2000-06-19,ACT,,3.0,3.0,80,195,,ATL,SF
RayJ Dennis,2860,nba,,True,,23.0,2001-03-30,FA,,0.0,,74,185,Baylor,,PG
Dion Waiters,1042,nba,,True,,32.0,1991-12-10,FA,,8.0,,75,215,Syracuse,,SG
Kenrich Williams,1946,nba,34.0,True,C,29.0,1994-12-02,ACT,,6.0,2.0,78,210,TCU,OKC,PF
Jett Howard,2591,nba,13.0,True,SF,21.0,2003-09-14,ACT,,1.0,2.0,78,215,Michigan,ORL,PG
Cormac Ryan,2856,nba,,True,,26.0,1998-10-26,FA,,0.0,,77,195,North Carolina,,PG
Jordan Mickey,1631,nba,,True,,30.0,1994-07-09,FA,,3.0,,80,235,LSU,,C
Juhann Begarin,2310,nba,,True,,22.0,2002-08-07,FA,,1.0,,77,185,,,SG
Keljin Blevins,2204,nba,,True,,29.0,1995-11-24,FA,,1.0,,76,200,Montana State,,SG
Marreese Speights,1093,nba,,True,,37.0,1987-08-04,FA,,10.0,,82,255,Florida,,PF
Carmelo Anthony,1027,nba,,False,,40.0,1984-05-29,RET,,19.0,,79,238,Syracuse,,SF
Franz Wagner,2304,nba,22.0,True,SF,23.0,2001-08-27,ACT,,3.0,1.0,82,220,Michigan,ORL,SF
Othyus Jeffers,1196,nba,,False,,39.0,1985-08-05,RET,,3.0,,77,200,Robert Morris (IL),,SG
Filip Petrusev,2263,nba,,True,,24.0,2000-04-15,FA,,1.0,,83,225,Gonzaga,,C
Reggie Evans,1176,nba,,False,,44.0,1980-05-18,RET,,13.0,,80,245,Iowa,,PF
Bilal Coulibaly,2565,nba,0.0,True,SF,20.0,2004-07-26,ACT,,1.0,1.0,80,195,,WAS,PF
Enes Freedom,1353,nba,,True,,32.0,1992-05-20,FA,,11.0,,82,250,,,C
Shake Milton,1900,nba,7.0,True,PG,28.0,1996-09-26,ACT,,6.0,3.0,77,205,SMU,BKN,SG
Jorge Gutierrez,1169,nba,,True,,35.0,1988-12-27,FA,,3.0,,75,195,California,,PG
Tevin Brown,2552,nba,,True,,26.0,1998-09-23,FA,,1.0,,77,175,Murray State,,PG
Armel Traore,2754,nba,94.0,True,PF,21.0,2003-01-23,TWO-WAY,,0.0,6.0,81,246,,LAL,PF
Chris Smith,2326,nba,,True,,24.0,1999-12-24,FA,,1.0,,81,215,UCLA,,SF
Stephen Zimmerman,1751,nba,,True,,28.0,1996-09-09,FA,,1.0,,84,240,UNLV,,C
Au'Diese Toney,2684,nba,,True,,25.0,1999-11-12,FA,,1.0,,78,205,Arkansas,,PG
Jeff Withey,1266,nba,,True,,34.0,1990-03-07,FA,,5.0,,84,230,Kansas,,C
Lonnie Walker,1953,nba,,True,,25.0,1998-12-14,FA,,5.0,,76,204,Miami (FL),,SG
Paul Eboua,2202,nba,,True,,24.0,2000-02-15,FA,,1.0,,80,214,,,PF
Brice Sensabaugh,2581,nba,28.0,True,SF,21.0,2003-10-30,ACT,,1.0,2.0,77,235,Ohio State,UTA,PF
Justin Bibbs,1958,nba,,True,,28.0,1996-01-14,FA,,1.0,,77,220,Virginia Tech,,SG
Stephen Jackson,1335,nba,,False,,46.0,1978-04-05,RET,,14.0,,80,220,Butler Community College,,SF
Shavlik Randolph,1414,nba,,False,,41.0,1983-11-24,RET,,8.0,,82,236,Duke,,PF
Brook Lopez,1178,nba,11.0,True,C,36.0,1988-04-01,ACT,,16.0,1.0,85,282,Stanford,MIL,C
Bobby Portis,1589,nba,9.0,True,PF,29.0,1995-02-10,ACT,,9.0,2.0,82,250,Arkansas,MIL,PF
Anthony WBlack,2561,nba,,False,,,,Active,,0.0,,79,198,Razorbacks,,SG
Mangok Mathiang,1781,nba,,True,,32.0,1992-10-08,FA,,1.0,,82,230,Louisville,,PF
B.J. Johnson,1944,nba,,True,,28.0,1995-12-21,FA,,2.0,,79,200,La Salle,,SF
Brandon Rush,1351,nba,,True,,39.0,1985-07-07,FA,,9.0,,78,220,Kansas,,SG
Rob Dillingham,2717,nba,4.0,True,PG,19.0,2005-01-04,ACT,,0.0,2.0,74,163,Kentucky,MIN,PG
Matt Morgan,2789,nba,,True,,27.0,1997-11-07,FA,,0.0,,74,174,Cornell,,PG
Joe Chealey,1911,nba,,True,,29.0,1995-11-01,FA,,2.0,,76,190,Charleston,,PG
Pablo Prigioni,1034,nba,,False,,47.0,1977-05-17,RET,,4.0,,75,185,,,PG
Javante McCoy,2503,nba,,True,,26.0,1998-01-24,FA,,1.0,,77,180,Boston University,,PG
Zach Edey,2718,nba,14.0,True,C,22.0,2002-03-14,ACT,,0.0,2.0,88,299,Purdue,MEM,C
Matteo Spagnolo,2484,nba,,True,,21.0,2003-01-10,FA,,1.0,,78,194,,,PG
Luol Deng,1008,nba,,False,,39.0,1985-04-16,RET,,15.0,,81,237,Duke,,SF
Willy Hernangomez,1664,nba,,True,,30.0,1994-05-27,FA,,6.0,,83,250,,,C
Dalen Terry,2433,nba,25.0,True,SF,22.0,2002-07-12,ACT,,2.0,2.0,79,195,Arizona,CHI,PG
Josh Christopher,2282,nba,8.0,True,PG,22.0,2001-12-08,TWO-WAY,,2.0,6.0,76,215,Arizona State,MIA,SG
Landry Shamet,1899,nba,,True,,27.0,1997-03-13,FA,,5.0,,76,190,Wichita State,,SG
Allen Crabbe,1445,nba,,True,,32.0,1992-04-09,FA,,7.0,,77,212,California,,SG
Craig Sword,2400,nba,,True,,30.0,1994-01-16,FA,,1.0,,75,196,Mississippi State,,SG
Armando Bacot,2858,nba,,True,,24.0,2000-03-06,FA,,0.0,,83,240,North Carolina,,C
Rudy Gay,1317,nba,,False,,38.0,1986-08-17,RET,,17.0,,80,250,UConn,,PF
Marc Gasol,1206,nba,,False,,39.0,1985-01-29,RET,,13.0,,83,255,,,C
Reggie Williams,1435,nba,,True,,38.0,1986-09-14,FA,,7.0,,78,205,VMI,,SF
Donte DiVincenzo,1964,nba,0.0,True,SG,27.0,1997-01-31,ACT,,6.0,2.0,76,200,Villanova,MIN,SG
Alex Morales,2658,nba,,True,,27.0,1997-11-21,FA,,1.0,,78,195,Wagner,,PG
Devyn Marble,1587,nba,,True,,32.0,1992-09-21,FA,,2.0,,78,200,Iowa,,SG
Joey Hauser,2628,nba,,True,,25.0,1999-07-17,FA,,1.0,,81,230,Michigan State,,SF
E.J. Liddell,2471,nba,32.0,True,C,23.0,2000-12-18,TWO-WAY,,1.0,4.0,78,240,Ohio State,CHI,PF
Ike Anigbogu,1767,nba,,True,,26.0,1998-10-16,FA,,2.0,,81,252,UCLA,,C
J.J. Barea,1193,nba,,False,,40.0,1984-06-26,RET,,14.0,,70,180,Northeastern,,PG
Marvin Williams,1359,nba,,False,,38.0,1986-06-19,RET,,15.0,,80,237,North Carolina,,PF
Vitor Faverani,1286,nba,,True,,36.0,1988-05-05,FA,,1.0,,83,260,,,C
Wes Iwundu,1877,nba,,True,,29.0,1994-12-20,FA,,5.0,,78,195,Kansas State,,SF
Kyle Alexander,2083,nba,,True,,28.0,1996-10-21,FA,,1.0,,83,220,Tennessee,,PF
Luigi Datome,1137,nba,,True,,37.0,1987-11-27,FA,,2.0,,80,215,,,SF
Tristan Thompson,1045,nba,13.0,True,C,33.0,1991-03-13,ACT,,13.0,3.0,81,254,Texas,CLE,PF
Robert Woodard,2134,nba,,True,,25.0,1999-09-22,FA,,3.0,,78,235,Mississippi State,,SF
Buddy Hield,1707,nba,7.0,True,SG,31.0,1992-12-17,ACT,,8.0,2.0,76,215,Oklahoma,GSW,SG
Josh Hall,2235,nba,,True,,24.0,2000-10-08,FA,,1.0,,81,190,,,SF
Josh Smith,1136,nba,,False,,38.0,1985-12-05,RET,,13.0,,81,225,,,PF
Neal Sako,2824,nba,,True,,26.0,1998-08-13,FA,,0.0,,83,225,,,C
Aaron Brooks,1242,nba,,True,,39.0,1985-01-14,FA,,10.0,,72,161,Oregon,,PG
Eric Griffin,1844,nba,,True,,34.0,1990-05-26,FA,,1.0,,80,205,Campbell,,SF
Frank Jackson,1815,nba,,True,,26.0,1998-05-04,FA,,4.0,,75,205,Duke,,PG
Colin Castleton,2642,nba,8.0,True,C,24.0,2000-05-25,TWO-WAY,,1.0,4.0,82,250,Florida,MEM,PF
Paul Pierce,1168,nba,,False,,47.0,1977-10-13,RET,,19.0,,79,235,Kansas,,SF
Moses Brown,2100,nba,3.0,True,C,25.0,1999-10-13,ACT,,4.0,3.0,86,258,UCLA,IND,C
Mamadi Diakite,2197,nba,,True,,27.0,1997-01-21,FA,,4.0,,81,228,Virginia,,C
Ben Simmons,1676,nba,10.0,True,PG,28.0,1996-07-20,ACT,,6.0,2.0,82,240,LSU,BKN,PG
Jakob Poeltl,1718,nba,19.0,True,C,29.0,1995-10-15,ACT,,8.0,1.0,84,260,Utah,TOR,C
Kevin Huerter,1941,nba,9.0,True,SF,26.0,1998-08-27,ACT,,6.0,2.0,79,190,Maryland,SAC,SG
Wayne Ellington,1394,nba,,True,,37.0,1987-11-29,FA,,13.0,,76,207,North Carolina,,SG
Ryan Rollins,2463,nba,13.0,True,PG,22.0,2002-07-03,TWO-WAY,,2.0,3.0,75,180,Toledo,MIL,PG
Sam Merrill,2139,nba,5.0,True,SG,28.0,1996-05-15,ACT,,4.0,3.0,76,205,Utah State,CLE,SG
L.J. Figueroa,2391,nba,,True,,26.0,1998-03-28,FA,,1.0,,78,200,Oregon,,SF
Josh Harrellson,1143,nba,,False,,35.0,1989-02-12,RET,,3.0,,82,275,Kentucky,,PF
Sandro Mamukelashvili,2296,nba,54.0,True,PF,25.0,1999-05-23,ACT,,3.0,2.0,81,235,Seton Hall,SAS,C
Matas Buzelis,2835,nba,14.0,True,SF,20.0,2004-10-13,ACT,,0.0,3.0,81,197,,CHI,SF
Jaden McDaniels,2135,nba,3.0,True,SF,24.0,2000-09-29,ACT,,4.0,1.0,81,205,Washington,MIN,PF
Isaiah Roby,2088,nba,,True,,26.0,1998-02-03,FA,,4.0,,78,230,Nebraska,,PF
Tomas Satoransky,1682,nba,,True,,33.0,1991-10-30,FA,,6.0,,79,210,,,SG
Andris Biedrins,1355,nba,,False,,38.0,1986-04-02,RET,,10.0,,84,250,,,C
Brandon Bass,1288,nba,,False,,39.0,1985-04-30,RET,,12.0,,80,250,LSU,,PF
Chris Livingston,2612,nba,7.0,True,PF,21.0,2003-10-15,ACT,,1.0,7.0,78,220,Kentucky,MIL,PF
D.J. Augustin,1017,nba,,False,,37.0,1987-11-10,RET,,14.0,,71,183,Texas,,PG
Lavoy Allen,1070,nba,,False,,35.0,1989-02-04,RET,,6.0,,81,260,Temple,,PF
Josh Huestis,1650,nba,,True,,32.0,1991-12-19,FA,,3.0,,79,230,Stanford,,SF
Jarrett Culver,2034,nba,,True,,25.0,1999-02-20,FA,,3.0,,78,195,Texas Tech,,SG
Jameer Nelson,1485,nba,,False,,42.0,1982-02-09,RET,,14.0,,72,190,Saint Joseph's,,PG
Gabriel Lundberg,2409,nba,,True,,29.0,1994-12-04,FA,,1.0,,76,203,,,SG
Ante Zizic,1763,nba,,True,,27.0,1997-01-04,FA,,2.0,,82,266,,,C
Udonis Haslem,1373,nba,,False,,44.0,1980-06-09,RET,,20.0,,79,235,Florida,,PF
Matt Thomas,2068,nba,,True,,30.0,1994-08-04,FA,,3.0,,75,190,Iowa State,,SG
Jaylin Williams,2845,nba,,True,,24.0,2000-07-26,FA,,0.0,,80,245,Auburn,,PF
Keisei Tominaga,2828,nba,,True,,23.0,2001-02-01,FA,,0.0,,74,178,Nebraska,,PG
James Young,1545,nba,,True,,29.0,1995-08-16,FA,,4.0,,78,215,Kentucky,,SG
Chris Silva,2087,nba,,True,,28.0,1996-09-19,FA,,3.0,,80,234,South Carolina,,PF
Gabriele Procida,2479,nba,,True,,22.0,2002-06-01,FA,,1.0,,79,194,,,PG
Blake Wesley,2450,nba,14.0,True,PG,21.0,2003-03-16,ACT,,2.0,3.0,75,190,Notre Dame,SAS,PG
DeMar DeRozan,1321,nba,10.0,True,SF,35.0,1989-08-07,ACT,,15.0,1.0,78,220,USC,SAC,SG
Greg Monroe,1135,nba,,True,,34.0,1990-06-04,FA,,10.0,,83,265,Georgetown,,C
Brandin Podziemski,2564,nba,2.0,True,PG,21.0,2003-02-25,ACT,,1.0,2.0,76,205,Santa Clara,GSW,PG
Mario Chalmers,1371,nba,,True,,38.0,1986-05-19,FA,,9.0,,74,190,Kansas,,PG
Glenn Robinson,1505,nba,,True,,30.0,1994-01-08,FA,,7.0,,78,222,Michigan,,SF
Tyler Smith,2769,nba,21.0,True,PF,20.0,2004-11-02,ACT,,0.0,5.0,83,224,,MIL,PF
Jack Cooley,1556,nba,,True,,33.0,1991-04-12,FA,,2.0,,82,274,Notre Dame,,C
Marshall Plumlee,1666,nba,,True,,32.0,1992-07-14,FA,,1.0,,84,250,Duke,,C
Richard Jefferson,1348,nba,,False,,44.0,1980-06-21,RET,,17.0,,79,233,Arizona,,SF
Sergio Rodriguez,1677,nba,,True,,38.0,1986-06-12,FA,,5.0,,75,175,,,PG
Dean Wade,2008,nba,32.0,True,PF,28.0,1996-11-20,ACT,,5.0,2.0,81,228,Kansas State,CLE,PF
Chinanu Onuaku,1703,nba,,True,,28.0,1996-11-01,FA,,2.0,,82,245,Louisville,,C
Isaiah Canaan,1239,nba,,True,,33.0,1991-05-21,FA,,6.0,,72,200,Murray State,,PG
Joe Wieskamp,2288,nba,,True,,25.0,1999-08-23,FA,,2.0,,78,205,Iowa,,SF
Jared Terrell,1922,nba,,True,,29.0,1995-02-10,FA,,1.0,,75,227,Rhode Island,,SG
Brandon Sampson,1881,nba,,True,,27.0,1997-05-01,FA,,1.0,,77,184,LSU,,SG
Miles Plumlee,1419,nba,,True,,36.0,1988-09-01,FA,,7.0,,83,249,Duke,,C
Reid Travis,2689,nba,,True,,29.0,1995-11-25,FA,,1.0,,80,238,Kentucky,,PF
Brandon Knight,1389,nba,,True,,32.0,1991-12-02,FA,,9.0,,74,182,Kentucky,,PG
Tari Eason,2447,nba,17.0,True,PF,23.0,2001-05-10,ACT,,2.0,2.0,80,217,LSU,HOU,PF
Balsa Koprivica,2269,nba,,True,,24.0,2000-05-01,NWT,,1.0,,85,240,Florida State,,C
Luca Vildoza,2252,nba,,True,,29.0,1995-08-11,FA,,1.0,,75,190,,,PG
Harry Giles,1869,nba,,True,,26.0,1998-04-22,FA,,3.0,,82,240,Duke,,C
Jeff Taylor,1149,nba,,True,,35.0,1989-05-23,FA,,3.0,,79,225,Vanderbilt,,SF
Dexter Dennis,2647,nba,,True,,25.0,1999-02-09,FA,,2.0,,77,210,Texas A&M,,SG
KZ Okpala,2085,nba,,True,,25.0,1999-04-28,FA,,3.0,,80,215,Stanford,,PF
Alonzo Gee,1056,nba,,True,,37.0,1987-05-29,FA,,8.0,,78,225,Alabama,,SF
Jahmi'us Ramsey,2162,nba,,True,,23.0,2001-06-09,FA,,2.0,,75,190,Texas Tech,,SG
Lorenzo Brown,1109,nba,,True,,34.0,1990-08-26,FA,,5.0,,77,189,North Carolina State,,PG
Jaylen Hoard,2099,nba,,True,,25.0,1999-03-30,FA,,2.0,,80,216,Wake Forest,,PF
Jaime Jaquez,2583,nba,11.0,True,PF,23.0,2001-02-18,ACT,,1.0,2.0,78,225,UCLA,MIA,PG
Patrick Beverley,1237,nba,,True,,36.0,1988-07-12,FA,,12.0,,74,180,Arkansas,,PG
Cody Williams,2725,nba,5.0,True,SF,20.0,2004-11-20,ACT,,0.0,4.0,79,190,Colorado,UTA,PF
Rasual Butler,1071,nba,,False,,45.0,1979-05-23,RET,,13.0,,80,215,La Salle,,SF
Jemerrio Jones,1931,nba,,True,,29.0,1995-04-09,FA,,1.0,,77,174,New Mexico State,,SF
Russell Westbrook,1434,nba,4.0,True,PG,36.0,1988-11-12,ACT,,16.0,2.0,76,200,UCLA,DEN,PG
Sean McDermott,2169,nba,,True,,28.0,1996-11-03,FA,,1.0,,78,195,Butler,,SF
Tristan Vukcevic,2596,nba,0.0,True,C,21.0,2003-03-11,TWO-WAY,,1.0,7.0,83,223,,WAS,C
Obi Toppin,2119,nba,1.0,True,C,26.0,1998-03-04,ACT,,4.0,2.0,81,220,Dayton,IND,PF
Jericho Sims,2257,nba,20.0,True,C,26.0,1998-10-20,ACT,,3.0,2.0,82,254,Texas,NYK,C
Troy Caupain,1993,nba,,True,,29.0,1995-11-29,FA,,1.0,,76,210,Cincinnati,,SG
Jae Crowder,1403,nba,99.0,True,PF,34.0,1990-07-06,ACT,,12.0,2.0,78,235,Marquette,SAC,PF
Shawne Williams,1220,nba,,True,,38.0,1986-02-16,FA,,7.0,,82,230,Memphis,,SF
Nick Ongenda,2677,nba,,True,,24.0,2000-09-29,FA,,0.0,,83,230,DePaul,,C
Hollis Thompson,1112,nba,,True,,33.0,1991-04-03,FA,,4.0,,80,206,Georgetown,,SF
Scotty Hopson,1058,nba,,True,,35.0,1989-08-08,FA,,3.0,,79,215,Tennessee,,SG
Greg Brown,2300,nba,,True,,23.0,2001-09-01,FA,,2.0,,79,206,Texas,,PF
Donovan Williams,2547,nba,,True,,23.0,2001-09-06,FA,,1.0,,78,190,UNLV,,PG
Jarrett Jack,1052,nba,,True,,41.0,1983-10-28,FA,,13.0,,75,200,Georgia Tech,,PG
Nick Johnson,1538,nba,,True,,31.0,1992-12-22,FA,,1.0,,75,200,Arizona,,SG
Quinn Cook,1709,nba,,True,,31.0,1993-03-23,FA,,5.0,,73,180,Duke,,PG
